iter	Passed	Remaining
659	945	487
660	946	485
661	947	483
662	948	481
663	948	480
664	949	478
665	950	476
666	951	474
667	952	473
668	953	471
669	953	469
670	954	468
671	955	466
672	956	464
673	957	463
674	958	461
675	959	459
676	960	458
677	961	456
678	961	454
679	962	453
680	963	451
681	964	449
682	966	448
683	967	446
684	968	445
685	969	443
686	970	442
687	971	440
688	972	438
689	973	437
690	974	435
691	974	433
692	975	432
693	976	430
694	977	429
695	978	427
696	979	425
697	980	424
698	981	422
699	981	420
700	982	419
701	983	417
702	984	415
703	985	414
704	986	412
705	986	411
706	987	409
707	988	407
708	989	406
709	990	404
710	991	402
711	992	401
712	993	399
713	994	398
714	995	396
715	996	395
716	996	393
717	997	391
718	998	390
719	999	388
720	1000	387
721	1001	385
722	1001	383
723	1002	382
724	1003	380
725	1004	379
726	1005	377
727	1006	375
728	1007	374
729	1008	372
730	1008	371
731	1009	369
732	1010	368
733	1011	366
734	1012	364
735	1013	363
736	1013	361
737	1014	360
738	1015	358
739	1016	357
740	1017	355
741	1018	354
742	1019	352
743	1020	350
744	1020	349
745	1021	347
746	1022	346
747	1023	344
748	1024	343
749	1025	341
750	1026	340
751	1027	338
752	1027	337
753	1028	335
754	1029	334
755	1030	332
756	1031	331
757	1032	329
758	1033	328
759	1033	326
760	1034	325
761	1035	323
762	1036	322
763	1037	320
764	1039	319
765	1040	317
766	1040	316
767	1041	314
768	1042	313
769	1043	311
770	1044	310
771	1045	308
772	1046	307
773	1047	305
774	1047	304
775	1049	302
776	1049	301
777	1050	299
778	1051	298
779	1052	296
780	1053	295
781	1054	293
782	1055	292
783	1056	290
784	1056	289
785	1057	288
786	1058	286
787	1059	285
788	1060	283
789	1061	282
790	1062	280
791	1063	279
792	1064	277
793	1064	276
794	1065	274
795	1066	273
796	1068	272
797	1069	270
798	1071	269
799	1071	267
800	1072	266
801	1073	265
802	1074	263
803	1075	262
804	1076	260
805	1077	259
806	1078	257
807	1079	256
808	1079	254
809	1080	253
810	1081	252
811	1082	250
812	1083	249
813	1083	247
814	1084	246
815	1085	244
816	1086	243
817	1087	241
818	1088	240
819	1088	239
820	1089	237
821	1090	236
822	1092	234
823	1093	233
824	1094	232
825	1095	230
826	1096	229
827	1097	227
828	1098	226
829	1098	225
830	1100	223
831	1101	222
832	1102	221
833	1103	219
834	1105	218
835	1106	217
836	1107	215
837	1108	214
838	1109	212
839	1109	211
840	1110	209
841	1111	208
842	1113	207
843	1114	205
844	1115	204
845	1116	203
846	1117	201
847	1118	200
848	1119	199
849	1120	197
850	1121	196
851	1122	195
852	1123	193
853	1124	192
854	1125	190
855	1125	189
856	1126	188
857	1127	186
858	1128	185
859	1129	183
860	1130	182
861	1130	181
862	1131	179
863	1132	178
864	1133	176
865	1134	175
866	1135	174
867	1136	172
868	1136	171
869	1137	170
870	1138	168
871	1139	167
872	1140	165
873	1141	164
874	1142	163
875	1142	161
876	1143	160
877	1144	159
878	1145	157
879	1146	156
880	1147	154
881	1148	153
882	1149	152
883	1150	151
884	1152	149
885	1153	148
886	1154	147
887	1155	145
888	1156	144
889	1156	142
890	1157	141
891	1158	140
892	1159	138
893	1160	137
894	1161	136
895	1161	134
896	1162	133
